,userId,userSessionId,teamId,price,age,country,totalAdClicks,strength,teamLevel,isHit,platformType
0,1300,5820,9,3.0,18.0,GR,3,0.952175553216,1,1,android
1,1300,5820,9,3.0,18.0,GR,3,0.952175553216,1,1,android
2,1300,5820,9,3.0,18.0,GR,3,0.952175553216,1,1,android
3,1300,5820,9,3.0,18.0,GR,3,0.952175553216,1,1,android
4,1300,9689,9,2.0,18.0,GR,6,0.952175553216,3,6,android
5,1300,9689,9,2.0,18.0,GR,6,0.952175553216,3,6,android
6,1300,9689,9,3.0,18.0,GR,6,0.952175553216,3,6,android
7,1300,9689,9,3.0,18.0,GR,6,0.952175553216,3,6,android
8,1300,12334,9,3.0,18.0,GR,8,0.952175553216,4,5,android
9,1300,12334,9,3.0,18.0,GR,8,0.952175553216,4,5,android
10,1300,12334,9,3.0,18.0,GR,8,0.952175553216,4,5,android
11,1300,12334,9,3.0,18.0,GR,8,0.952175553216,4,5,android
12,1300,12334,9,3.0,18.0,GR,8,0.952175553216,4,5,android
13,1300,12334,9,3.0,18.0,GR,8,0.952175553216,4,5,android
14,1300,15816,9,3.0,18.0,GR,5,0.952175553216,5,9,android
15,1300,15816,9,3.0,18.0,GR,5,0.952175553216,5,9,android
16,1300,15816,9,1.0,18.0,GR,5,0.952175553216,5,9,android
17,1300,15816,9,1.0,18.0,GR,5,0.952175553216,5,9,android
18,1300,15816,9,5.0,18.0,GR,5,0.952175553216,5,9,android
19,1300,15816,9,5.0,18.0,GR,5,0.952175553216,5,9,android
20,1300,15816,9,5.0,18.0,GR,5,0.952175553216,5,9,android
21,1300,15816,9,5.0,18.0,GR,5,0.952175553216,5,9,android
22,1300,20538,9,3.0,18.0,GR,9,0.952175553216,6,8,android
23,1300,20538,9,3.0,18.0,GR,9,0.952175553216,6,8,android
24,1300,20538,9,3.0,18.0,GR,9,0.952175553216,6,8,android
25,1300,20538,9,3.0,18.0,GR,9,0.952175553216,6,8,android
26,1300,20538,9,3.0,18.0,GR,9,0.952175553216,6,8,android
27,1300,20538,9,3.0,18.0,GR,9,0.952175553216,6,8,android
28,1300,26405,9,3.0,18.0,GR,5,0.952175553216,7,7,android
29,1300,26405,9,3.0,18.0,GR,5,0.952175553216,7,7,android
30,1027,5920,9,20.0,60.0,GD,5,0.952175553216,1,5,iphone
31,1027,5920,9,20.0,60.0,GD,5,0.952175553216,1,5,iphone
32,1027,5920,9,5.0,60.0,GD,5,0.952175553216,1,5,iphone
33,1027,5920,9,5.0,60.0,GD,5,0.952175553216,1,5,iphone
34,1027,5920,9,20.0,60.0,GD,5,0.952175553216,1,5,iphone
35,1027,5920,9,20.0,60.0,GD,5,0.952175553216,1,5,iphone
36,1027,7534,9,10.0,60.0,GD,1,0.952175553216,2,5,iphone
37,1027,7534,9,10.0,60.0,GD,1,0.952175553216,2,5,iphone
38,1027,7534,9,2.0,60.0,GD,1,0.952175553216,2,5,iphone
39,1027,7534,9,2.0,60.0,GD,1,0.952175553216,2,5,iphone
40,1027,15821,9,10.0,60.0,GD,8,0.952175553216,5,11,iphone
